[2026-04-13 10:28:10] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-04-12
正在获取论文...
[ACM] 2026-4-13 | Toolset Action Coding System: A Generalized Method for Tool Measurement
[ACM] 2026-4-13 | Session Summary Podcast: Session 189: Security Operations and Governance
[ACM] 2026-4-13 | From Selfie Stick to Virtual Cane: Enabling Blind Exploration through Mobile Virtual Reality
[ACM] 2026-4-13 | SoundStager: Interactive Design of Story-Driven GenAI Soundscapes for Video
[ACM] 2026-4-13 | Continuous Measurement Methods for Transient Physiological Discomfort in VR Locomotion
[ACM] 2026-4-13 | Alignment–Process–Outcome: Rethinking How AIs and Humans Collaborate
[ACM] 2026-4-13 | Sona: Towards Context-Aware, Real-Time Personalization of Acoustic Environments for Noise Sensitivity
[ACM] 2026-4-13 | On the Common Pitfalls of Designing and Communicating Within-Subjects Experiments in HCI
[ACM] 2026-4-13 | The More-than-Human Talking Stick: Design Principles for Multispecies Entanglement and Agency
[ACM] 2026-4-13 | PoliSim@CHI 2026: LLM Agent Simulation for Policy
[ACM] 2026-4-13 | SocialCue: Exploring the Design Space of Social Wayfinding Assistants for Blind and Low Vision People
[ACM] 2026-4-13 | ArtfulSign: A Closed-Loop, Semantics-Grounded Mobile System for Learning Chinese Sign Language
[ACM] 2026-4-13 | Tracking Eye Movements to Extract Visual Patterns for Better Language Problem-Solving Skills in School-aged Children
[ACM] 2026-4-13 | Framing the Crowd: How Task Design Shapes Collective Expectation in Crowdsourcing Pedestrian Behavior Change
[ACM] 2026-4-13 | How Does It Know?: Characterizing Thinking Through Unconscious Pen Gestures
[ACM] 2026-4-13 | Science and Technology for Augmenting Reading (STAR)
[ACM] 2026-4-13 | Approximate vs Precise: An Experiment in What Impacts User Choice When Apps Request Location Access
[ACM] 2026-4-13 | Effects of Generative AI Errors on User Reliance Across Task Difficulty
[ACM] 2026-4-13 | Modeling Sequential Design Actions as Designer Externalization on an Infinite Canvas
[ACM] 2026-4-13 | Agent A/B: Automated and Scalable A/B Testing on Live Websites with Interactive LLM Agents
[ACM] 2026-4-13 | Preliminary Explorations of Generative AI and the Embodied Embroidery of Huayao Intangible Cultural Heritage
[ACM] 2026-4-13 | Silence is a Feature, Not a Bug: A Deaf Developer’s Autoethnography on Agency and Local AI
[ACM] 2026-4-13 | Speaker-Aware Affective Captioning for Multi-Speaker STEM Talk in Inclusive Classrooms
[ACM] 2026-4-13 | Who Owns the Worm? Authorship Collapse in Viral Digital Models
[ACM] 2026-4-13 | Auditing Algorithmic Visibility on X: Evidence from Shadowban Detection
[ACM] 2026-4-13 | Prompting Destiny: Negotiating Socialization and Growth in an LLM-Mediated Speculative Gameworld
[ACM] 2026-4-13 | ‘I Know I Can Do the Job, It’s Just Putting It Down’: Using Personas as a Mirror to Identify Strengths
