[2026-05-12 11:15:31] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-05-11
正在获取论文...
[arXiv] 2026-05-11 | Coarse Menger property of quasi-minor excluded graphs and length spaces
[arXiv] 2026-05-11 | Skill Premia and Pre-Marital Investments in Marriage Markets
[arXiv] 2026-05-11 | Strategic Exploitation in LLM Agent Markets: A Simulation Framework for E-Commerce Trust
[arXiv] 2026-05-11 | Guided Streaming Stochastic Interpolant Policy
[arXiv] 2026-05-11 | Janus: Compiler-Based Defense Against Transient Execution Attacks Using ARM Hardware Primitives
[arXiv] 2026-05-11 | Generalized i-boson model and boxed BUC plane partitions
[arXiv] 2026-05-11 | Rethinking Loss Reweighting for Imbalance Learning as an Inverse Problem: A Neural Collapse Point of View
[arXiv] 2026-05-11 | ExtraVAR: Stage-Aware RoPE Remapping for Resolution Extrapolation in Visual Autoregressive Models
[arXiv] 2026-05-11 | A Statistical Framework for Learning Preferences from the Past
[arXiv] 2026-05-11 | Only Train Once: Uncertainty-Aware One-Class Learning for Face Authenticity Detection
[arXiv] 2026-05-11 | Instruction Adherence in Coding Agent Configuration Files: A Factorial Study of Four File-Structure Variables
[arXiv] 2026-05-11 | Beyond Self-Play and Scale: A Behavior Benchmark for Generalization in Autonomous Driving
[arXiv] 2026-05-11 | Neural-ISAM: A hybrid in-situ machine learning approach for complex manifold-based combustion models in LES of turbulent flames
[arXiv] 2026-05-11 | Speech-based Psychological Crisis Assessment using LLMs
[arXiv] 2026-05-11 | MUSDA: Multi-source Multi-modality Unsupervised Domain Adaptive 3D Object Detection for Autonomous Driving
[arXiv] 2026-05-11 | On the residual missing mass of the Bullet Cluster
[arXiv] 2026-05-11 | Differentially Private Sampling from Distributions via Wasserstein Projection
[arXiv] 2026-05-11 | Valley-contrasting Spin Textures in Janus Metal Phosphochalcogenides
[arXiv] 2026-05-11 | Measurement-Adapted Eigentask Representations for Photon-Limited Optical Readout
[arXiv] 2026-05-11 | Geometry-induced pulse dynamics in a bulk-surface reaction-diffusion system for cell polarization
[arXiv] 2026-05-11 | Diamond membranes: platform for photonic and opto-mechanical applications
[arXiv] 2026-05-11 | Lakestream: A Consistent and Brokerless Data Plane for Large Foundation Model Training
[arXiv] 2026-05-11 | Learning Graph Foundation Models on Riemannian Graph-of-Graphs
[arXiv] 2026-05-11 | Geometric 4D Stitching for Grounded 4D Generation
[arXiv] 2026-05-11 | Physical design of cold neutron direct geometry inelastic spectrometer at China Spallation Neutron Source
[arXiv] 2026-05-11 | Higgs-Portal Spin-1 Dark Matter with Parity-Violating Interaction for a Galactic Halo Gamma Ray Excess
[arXiv] 2026-05-11 | OZ-TAL: Online Zero-Shot Temporal Action Localization
