[2026-05-15 11:14:36] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-05-14
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202605140000+TO+202605142359%5D&sortBy=relevance&sortOrder=descending&max_results=100 (Caused by ResponseError('too many 429 error responses'))
[IEEE] 2026-5-14 | <i>COIVis</i>
                    : Eye-tracking-based Visual Exploration of Concept Learning in MOOC Videos
[IEEE] 2026-5-14 | An Intelligent Inversion Method to Identify Railway Ballast Gradation Parameters Using Electromagnetic Wave Reflection
[IEEE] 2026-5-14 | Cover Page
[IEEE] 2026-5-14 | Effect of Insertion Parameters on Insertion Force and Tissue Damage During Rigid Neural Probe Implantation_supp2-3691664.mp4
[IEEE] 2026-5-14 | Hierarchical Path Planning and Task Offloading for UAV-Assisted MEC Systems
[IEEE] 2026-5-14 | Direct Estimation of P- and S-Wave Impedance Parameters based on Pre-stack Reflection Coefficients
[IEEE] 2026-5-14 | Overcoming Resistance to Change for Sustainable ICT Integration in Logistics: From Case Studies to Best Practices_supp1-3693049.docx
[IEEE] 2026-5-14 | Learning Spatiotemporal Dependencies for Tropical Cyclone Intensity Forecasting with Multi-Source Data
[IEEE] 2026-5-14 | Frequency-Domain Scalar Message Passing Based Joint Target Detection and Localization for Distributed Passive MIMO Radar
[IEEE] 2026-5-14 | Robust Adversarial Defense for Deep Learning-Based Beamforming in Next-Generation Wireless Networks: Knowledge Distillation Meets TRADES
[IEEE] 2026-5-14 | Diffusion Bridge-Based Joint Estimation and Detection Design for Superimposed-Pilot OFDM Receiver
[IEEE] 2026-5-14 | Cross-Frequency Feature Learning for Dual-Band Radar HRRP Target Recognition
[IEEE] 2026-5-14 | Efficient Ambiguity Resolution for BDS-3/INS positioning with Multi-frequency Measurements
[IEEE] 2026-5-14 | GNSS-Spoofing Detection via Machine Learning with In-Domain and Cross-Domain Testing and Open-Access I/Q Data
[IEEE] 2026-5-14 | Predicting Tactile Sensory Outcome of Physical Human-Robot Interaction through Embodied Learning Strategy_supp2-3692059.mp4
[IEEE] 2026-5-14 | MalElves: Reinforcement Learning-Driven Adversarial Example Generation for Evading Cross-Platform ELF Malware Detection
[IEEE] 2026-5-14 | Disturbance Perception and Accurate Modeling of Magnetic Suspension Flywheel Battery Based on Dynamic Coupling Preview Matrices
[IEEE] 2026-5-14 | Deep Spatio-Temporal and Frequency Guided Fusion Network for Event-to-Video Reconstruction
[IEEE] 2026-5-14 | Curiosity-Driven Reinforcement Learning for Autonomous Navigation in Magnetically Controlled Capsule Endoscopy
[IEEE] 2026-5-14 | On the Convergence of the Fast Griffin-Lim Algorithm
[IEEE] 2026-5-14 | An LMI Approach to Admissibility Analysis and
                    <i>H</i>
                    <sub>∞</sub>
                    Observer-Based Control Design with Fault Estimation for Singular Fractional-Order Systems
[IEEE] 2026-5-14 | Rotor Speed Estimation of Synchronous Generators Based on PMU Data and Tuning of Linearized Swing Equation Coefficients
[IEEE] 2026-5-14 | Optimal Stealthy Attacks Under Periodic Detection in Cyber-Physical Systems With Round-Robin Protocol
[IEEE] 2026-5-15 | Design and Implementation of Cloud-Ground-End Collaborative Zero-Trust Security Architecture for Industrial Drones
[IEEE] 2026-5-15 | IoT-Integrated Smart Monitoring of Buck-Boost Converter Performance in Multi-Voltage Battery Systems
[IEEE] 2026-5-15 | Design of a Compact Diamond-Shaped MIMO Antenna with Enhanced Isolation Characteristics Using Hybrid DGS and EBG Techniques
[IEEE] 2026-5-15 | Research on Pipeline Risk Event Recognition Algorithm Based on CNN-Swin Transformer
[IEEE] 2026-5-15 | Indian Currency Recognition with Audio Feedback for Visually Impaired People Using YOLOv5
[IEEE] 2026-5-15 | AI Based Irrigation and Weather Forecasting System Using Lorawan
[IEEE] 2026-5-15 | Fault Diagnosis of TRD Machine Based on TimeGAN-LSTM-LightGBM
[IEEE] 2026-5-15 | An Improved DEIM-Based Algorithm for X-Ray Prohibited Item Detection
[IEEE] 2026-5-15 | Robust Trajectory Tracking Control for Quadrotor UAV Based on Adaptive Dynamic Programming and Finite-Time Observer
[IEEE] 2026-5-15 | CNC-MIND: An Explainable Multi-Task Digital Twin for CNC Machining
[IEEE] 2026-5-15 | Hybrid RL-PID for Intelligent Lighting Control in Container-based Indoor Farming
[IEEE] 2026-5-15 | Pushing Bit-Width Limits in LLM Quantization with Saliency-Guided Mix-Precision Allocation and Learnable Affine Transformation
[IEEE] 2026-5-15 | Sparse2Dense: A Keypoint-Driven Generative Framework for Human Video Compression and Vertex Prediction
[IEEE] 2026-5-15 | A 28nm 11.2-to-20-GHz PLL-based 16-Phase Clock Generator with High-Order-Mode Ring Oscillator Achieving 24.3-fs Jitter for 320-Gsps-Sample-Rate Data Converter
[IEEE] 2026-5-15 | Rapid Diagnosis of Foot-and-Mouth Disease in Livestock Using Supervised Machine Learning Algorithms
[IEEE] 2026-5-15 | Distance Enhancement and Misalignment Robustness in WPT System Employing Higher Order Compensation Topology and ZVS
