[2026-07-19 10:21:24] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-07-18
正在获取论文...
[ACM] 2026-7-18 | Assessing Pedestrian Space Performance in TOD-Based University Towns for Sustainable Development
[ACM] 2026-7-18 | Contrastive Learning with Hash Coding for Cross-Modal Retrieval Algorithm Optimization of Mosuo Costume Symbols
[ACM] 2026-7-18 | Research on Train Timetable Optimization for Urban Rail Transit under Passenger Flow Conditions
[ACM] 2026-7-18 | Application of Urban Transportation Systems and Parking Demand Analysis Driven by Data
[ACM] 2026-7-18 | How Financial and Privacy Risks Shape Behavioral Intention: The Mediating Role of Risk Perception and the Moderating Role of Trust
[ACM] 2026-7-18 | Wind Power Forecasting Model Based on Quantum Particle Swarm Optimization and Long Short-Term Memory Network
[ACM] 2026-7-18 | A Selective Multi-View Representation Augmentation Framework for Crystal Property Prediction
[ACM] 2026-7-18 | Personalized Data-Free Knowledge Distillation for Federated Learning under Heterogeneous Models and Data
[ACM] 2026-7-18 | Game-Ready Hair in Minutes! Hair Mesh Modeling with Physics
[ACM] 2026-7-18 | High-Resolution Numerical Simulation and Evaluation of Near-Surface Air Temperature in the Source Region of the Yangtze River and the Yellow River based on WRF
[ACM] 2026-7-18 | A Cognitive Load Theory-Based Study on the Impact Mechanisms of Generative AI Application Patterns on Learning Engagement: Metacognitive Regulation and Disciplinary Differences from a Science and Engineering Perspective
[ACM] 2026-7-18 | Research on the AIGC translation path of Tujia stilted houses driven by cultural genes
[ACM] 2026-7-18 | A Study on the Optimization of Lane Allocation at Highway Toll Stations Based on Queuing Theory
[ACM] 2026-7-18 | Proactive Commuter Car-Pooling Matching Service for Private Cars Using Deep Reinforcement Learning
[ACM] 2026-7-18 | Assessing Urban Land Use Efficiency and Its Driving Mechanisms: Combining SBM-GRA Modeling and Land Use Dynamics in Lanzhou's Main Urban Area
[ACM] 2026-7-18 | Research on Load Forecasting Method for Building HVAC  Systems Integrating Transformer and Physical Constraints
[ACM] 2026-7-18 | Research on the Measurement Method of Rural Production-Living Spatial Integration Degree Based on GIS and Shannon Entropy Model: A Case Study of Shilonggou, Wen County, Gansu Province
[ACM] 2026-7-18 | Landscape Gene Atlas Construction for Traditional Villages along the Ancient Shu Road: A case study of Qinglinkou Village, Sichuan, China
[ACM] 2026-7-18 | Spatial Analysis and Ensemble Simulation of Supply-Demand Coordination for Urban Green Space Leisure Services: A Case Study of Guangzhou
[ACM] 2026-7-18 | A Flexible FPGA-based Butterfly Engine for Accelerating Signal Processing and Machine Learning
[ACM] 2026-7-18 | Measure Twice, Locate Once: Mitigating Hallucinations in LLM-based Agents for Repository-Scale Fault Localization
[ACM] 2026-7-18 | Digital Transformation, TFP, and the Bullwhip Effect — The Moderating Role of Digital-Savvy Executives
